WAVELENGTH	THROUGHPUT
3410.37841796875	5.5555175427232205e-08
3420.0	5.99061786014847e-08
3420.380859375	6.007533010421514e-08
3430.0	4.11968111502004e-08
3430.38330078125	4.045077777271732e-08
3440.0	5.095735845245657e-08
3440.385986328125	5.1374760448030995e-08
3450.0	4.629146772850085e-08
3450.388671875	4.6088858217242846e-08
3460.0	4.637036671558143e-08
3460.39111328125	4.638008848554829e-08
3470.0	5.572398765307446e-08
3470.393798828125	5.6104188843181546e-08
3480.0	3.9169260816983416e-08
3480.396240234375	3.8476854079488306e-08
3490.0	5.565859542464731e-08
3490.398681640625	5.636543540239416e-08
3500.0	5.8543165182139804e-08
3500.4013671875	5.863552297903709e-08
3510.0	5.9139233405682846e-08
3510.404052734375	5.915811045818478e-08
3520.0	5.170723918693371e-08
3520.406494140625	5.1395604889133534e-08
3530.0	5.046681099718585e-08
3530.4091796875	5.042555422548982e-08
3540.0	5.620047135587169e-08
3540.41162109375	5.6448449464976736e-08
3550.0	5.1838869477831846e-08
3550.414306640625	5.1639004570752894e-08
3560.0	3.805728044132033e-08
3560.416748046875	3.7471058582557594e-08
3570.0	4.8380518808421884e-08
3570.41943359375	4.885614928637612e-08
3580.0	5.183015635341212e-08
3580.422119140625	5.19583105275741e-08
3590.0	3.3782122896465456e-08
3590.424560546875	3.2983623366234615e-08
3600.0	5.2771811187263255e-08
3600.427001953125	5.366864508121765e-08
3610.0	5.890314148805485e-08
3610.4296875	5.9140821261922776e-08
3620.0	4.396211523321091e-08
3620.432373046875	4.3272631339976186e-08
3630.0	5.446563107756837e-08
3630.434814453125	5.4975049537234306e-08
3640.0	5.975937857372908e-08
3640.4375	5.998093727262591e-08
3650.0	5.76996843791592e-08
3650.440185546875	5.759214715543655e-08
3660.0	5.690702731892337e-08
3660.442626953125	5.6877435845937075e-08
3670.0	6.68026241449442e-08
3670.4453125	6.726378666515788e-08
3680.0	6.971560943847292e-08
3680.44775390625	6.983073172862161e-08
3690.0	8.782694713403896e-08
3690.450439453125	8.868073007753583e-08
3700.0	9.040985778657466e-08
3700.452880859375	9.048851022694376e-08
3710.0	9.929157998995595e-08
3710.45556640625	9.971641346756373e-08
3720.0	9.67293645863585e-08
3720.458251953125	9.658166171570497e-08
3730.0	1.1162744211712875e-07
3730.460693359375	1.1235531961726592e-07
3740.0	1.1646260844383662e-07
3740.46337890625	1.16667176656707e-07
3750.0	1.786399658752943e-06
3760.0	3.543940407417883e-06
3770.0	5.313027428907194e-06
3780.0	7.0859597074558054e-06
3790.0	8.865816644465082e-06
3800.0	1.0661807292554424e-05
3810.0	1.2505708699412468e-05
3820.0	1.4370348044353454e-05
3830.0	1.626983069188882e-05
3840.0	1.817755678445199e-05
3843.090087890625	1.877626977455601e-05
3843.2900390625	6.389088994728066e-05
3843.489990234375	2.871150295182789e-05
3843.690185546875	4.9010298146332025e-05
3843.89013671875	3.8651968702133685e-05
3844.09033203125	4.4272050054678954e-05
3844.290283203125	6.026110424414277e-05
3844.490478515625	0.00010152848533137869
3844.6904296875	7.820881539368587e-05
3844.890380859375	0.00010825349212006281
3845.090576171875	0.00013225521254576936
3845.29052734375	0.000123195044906402
3845.490478515625	0.0001703341490259853
3845.690673828125	0.0001818145589625393
3845.890625	0.0001775141001492421
3846.0908203125	0.00020910926588382935
3846.290771484375	0.00023617096109354238
3846.490966796875	0.00029157538905989555
3846.69091796875	0.0002502945266493246
3846.89111328125	0.0003228077224821859
3847.091064453125	0.0003827894466241125
3847.291015625	0.00039127993409318476
3847.4912109375	0.0005075619309949056
3847.691162109375	0.0004985367566000355
3847.89111328125	0.0005139737378300899
3848.09130859375	0.0006251209844057923
3848.291259765625	0.0007194057643578753
3848.491455078125	0.0008269271671850795
3848.69140625	0.0009281948623601608
3848.8916015625	0.0010065250560395878
3849.091552734375	0.0011427270258996286
3849.29150390625	0.0013153702386413493
3849.49169921875	0.0015136329865549558
3849.691650390625	0.0016755322826347925
3849.891845703125	0.0018921041623629013
3850.0	0.002029676957158854
3850.091796875	0.002146441114441265
3850.2919921875	0.0024381140510340324
3850.491943359375	0.0027944777242150712
3850.69189453125	0.0031619836443873423
3850.89208984375	0.0034825033655801175
3851.092041015625	0.004009618518513387
3851.2919921875	0.004509950386980947
3851.4921875	0.0053458550951463665
3851.692138671875	0.005951701089451957
3851.892333984375	0.0066208426568065155
3852.09228515625	0.007420804626258951
3852.29248046875	0.00846408141477612
3852.492431640625	0.009969168356984578
3852.6923828125	0.011468297599640402
3852.892578125	0.012905446245502328
3853.092529296875	0.014521875342511184
3853.29248046875	0.016595456513535757
3853.49267578125	0.019322944249570942
3853.692626953125	0.022505111776862773
3853.892822265625	0.02475695751080039
3854.093017578125	0.02769339236496351
3854.29296875	0.030818476386943457
3854.492919921875	0.034057511786891634
3854.693115234375	0.038982409082552565
3854.89306640625	0.04372166843562495
3855.093017578125	0.0479640926668009
3855.293212890625	0.051962196863602074
3855.4931640625	0.057476362570273026
3855.693359375	0.06364951711665359
3855.893310546875	0.0685193328883286
3856.093505859375	0.07330932728816282
3856.29345703125	0.07749837450415824
3856.493408203125	0.08166637893898676
3856.693603515625	0.08696220369529398
3856.8935546875	0.0938461144304845
3857.093505859375	0.0974610062407555
3857.293701171875	0.1013048696606723
3857.49365234375	0.10664253419676024
3857.69384765625	0.1100351814238676
3857.893798828125	0.11442685794791807
