WAVELENGTH	THROUGHPUT
2830.83251953125	1.7293986791001815e-08
2840.0	1.7032288196453366e-08
2840.835205078125	1.7009659116577623e-08
2850.0	1.1400825983524107e-08
2850.837646484375	1.0886311647254083e-08
2860.0	1.597118988007424e-08
2860.840087890625	1.6437852340378873e-08
2870.0	1.0257244630510855e-08
2870.842529296875	9.687932045521172e-09
2880.0	1.8284991980559352e-08
2880.844970703125	1.907965372320273e-08
2890.0	1.4394486100007219e-08
2890.847412109375	1.396070148507112e-08
2900.0	3.929013528965221e-09
2900.849853515625	2.99520967520406e-09
2910.0	1.5155745343657964e-08
2910.852294921875	1.6295872306214998e-08
2920.0	6.983941976552665e-09
2920.854736328125	6.108411571139567e-09
2930.0	1.4937948711122604e-08
2930.857421875	1.5770802853845143e-08
2940.0	1.680336424392032e-08
2940.85986328125	1.6902367214613402e-08
2950.0	5.031815006777721e-09
2950.8623046875	3.903442709478006e-09
2960.0	2.3839764757866088e-08
2960.86474609375	2.5738485064227502e-08
2970.0	2.468300490125888e-08
2970.8671875	2.458396269985939e-08
2980.0	4.774854053636211e-09
2980.86962890625	2.874400585560458e-09
2990.0	1.902419302547007e-08
2990.872314453125	2.0578653388796488e-08
3000.0	1.607684293084456e-08
3000.874755859375	1.5632038360704646e-08
3010.0	1.2821929586159404e-08
3010.877197265625	1.255281468925234e-08
3020.0	1.0583293142439005e-08
3020.879638671875	1.0393235080174078e-08
3030.0	1.4431165050561992e-08
3030.882080078125	1.4820737735351474e-08
3040.0	7.123425120316304e-09
3040.884765625	6.377170007975956e-09
3050.0	1.3787131637911974e-08
3050.88720703125	1.4507688027697681e-08
3060.0	1.8778201135285193e-08
3060.8896484375	1.9196542032059396e-08
3070.0	2.1424766131174123e-08
3070.89208984375	2.1641362811144027e-08
3080.0	8.626927021204694e-09
3080.894775390625	7.349254788389452e-09
3090.0	1.1695101882950693e-08
3090.897216796875	1.212263447068317e-08
3100.0	2.6713502097370147e-08
3100.899658203125	2.8157451294269754e-08
3110.0	2.154507795854743e-08
3110.902099609375	2.0889181115486018e-08
3120.0	1.0080673709955676e-08
3120.90478515625	9.004361517306083e-09
3130.0	1.4750982177741907e-08
3130.9072265625	1.532527621043157e-08
3140.0	1.5486997785464717e-08
3140.909912109375	1.5501933713915278e-08
3150.0	1.691757882822223e-08
3150.912353515625	1.7061006243125612e-08
3160.0	2.27839597069148e-08
3160.914794921875	2.335849412200626e-08
3170.0	1.4106951940362948e-08
3170.917236328125	1.317425413700217e-08
3180.0	3.89310110437998e-09
3180.919921875	2.952274188617272e-09
3190.0	2.1474411324788325e-08
3190.92236328125	2.3357277180254978e-08
3200.0	1.724031215286595e-08
3200.9248046875	1.661365883241248e-08
3210.0	1.4640037677435624e-08
3210.927490234375	1.4439804505285852e-08
3220.0	1.3654309070594679e-09
3220.929931640625	2.6025357895327388e-11
3230.0	1.7368320003439466e-08
3230.9326171875	1.9150551557929852e-08
3240.0	1.8129166399129462e-09
3240.93505859375	2.5974091818129943e-11
3250.0	2.6564128383342277e-08
3250.9375	2.9307210681189302e-08
3260.0	9.858916838550154e-09
3260.940185546875	7.841718123606445e-09
3270.0	1.954265449245472e-08
3270.942626953125	2.076005483695659e-08
3280.0	2.5301600738985106e-08
3280.9453125	2.5773177062843994e-08
3290.0	1.5485214261549823e-08
3290.94775390625	1.441113503132306e-08
3300.0	1.4634552910766154e-08
3300.9501953125	1.4656761373748303e-08
3310.0	2.0224931089272053e-08
3310.952880859375	2.0812129785293893e-08
3320.0	2.3459008291141537e-08
3320.955322265625	2.3736341484314518e-08
3330.0	1.1877981315387787e-08
3330.9580078125	1.062466417865457e-08
3340.0	3.222540733185207e-08
3340.96044921875	3.451563226430711e-08
3350.0	3.341520599348198e-09
3350.962890625	2.5680191845892245e-11
3360.0	8.794916505729457e-09
3360.965576171875	9.730510479637405e-09
3370.0	3.2614637515264725e-08
3370.968017578125	3.506606640938087e-08
3380.0	4.830303294890276e-08
3380.970703125	4.972062980529799e-08
3390.0	1.0679566910872152e-08
3390.97314453125	6.478495085237415e-09
3400.0	1.6234799860286973e-08
3400.975830078125	1.7278729242084053e-08
3410.0	3.786016814176447e-08
3410.978271484375	4.007989624921142e-08
3420.0	1.721850352129101e-08
3420.98095703125	1.4745724629117052e-08
3430.0	3.879270535116219e-08
3430.9833984375	4.140036483552931e-08
3440.0	2.6013125023100332e-08
